ds	y	chuva1	vazao1	chuva2	vazao2	chuva3	vazao3	chuva4	vazao4	chuva5	vazao5	chuva6	vazao6
2016-03-31	114.872	0.0	52.265625										48.24
2016-03-30	129.446	0.0	62.425										58.947
2016-03-29	133.485	0.0	75.56428571428572										72.133
2016-03-28	147.827	0.0	71.13958333333333										74.314
2016-03-27	129.446	0.2	69.67291666666667										68.416
2016-03-26	118.809	14.8	61.70729166666667										62.331
2016-03-25	109.667	0.0	51.7875										48.24
2016-03-24	120.128	0.2	50.23333333333333										44.175
2016-03-23	124.103	0.0	55.67291666666667										51.658
2016-03-22	127.437	0.0	65.36666666666666										58.947
2016-03-21	134.837	0.0	68.53020833333333										62.825
2016-03-20	118.151	0.0	65.85312499999999										68.416
2016-03-19	131.462	0.2	62.96666666666666										61.352
2016-03-18	169.555	0.0	73.43229166666667										67.895
2016-03-17	201.447	3.2	116.11875										102.462
2016-03-16	205.145	2.8	122.3625										126.322
2016-03-15	185.353	1.4	116.72604166666667										116.543
2016-03-14	134.161	1.2000000000000002	97.2875										105.186
2016-03-13	134.837	24.0	69.88958333333333										92.017
2016-03-12	132.136	14.4	61.64375										52.978
2016-03-11	120.128	6.4	58.084375										52.536
2016-03-10	121.45	0.0	61.484375										60.866
2016-03-09	137.551	0.0	66.58958333333332										61.841
2016-03-08	159.663	0.0	81.45208333333333										72.674
2016-03-07	169.555	0.0	93.98125										77.663
2016-03-06	237.525	0.0	92.54895833333336										93.283
2016-03-05	141.642	1.8	66.346875										61.841
2016-03-04	148.518	9.6	72.76875										64.32
2016-03-03	189.714	0.0	113.40520833333332										81.69
2016-03-02	168.844	0.0	137.07708333333332										138.238
2016-03-01	130.79	0.0	84.2421052631579										88.282
2016-02-29		0.0	78.21075268817205										73.218
2016-02-28	108.374	0.2	61.77291666666667										69.993
2016-02-27	109.667	11.0	54.68214285714286										49.081
2016-02-26	107.084	0.0	54.365625										49.931
2016-02-25	112.263	0.0	56.53333333333333										53.87
2016-02-24	118.151	0.0	62.883333333333326										58.947
2016-02-23	133.485	0.0	68.25416666666666										65.837
2016-02-22	168.844	0.0	91.80416666666667										84.646
2016-02-21	181.015	0.0	142.1191011235955										136.609
2016-02-20	177.416	0.0	139.64374999999998										144.875
2016-02-19	125.434	0.0	84.07604166666667										109.358
2016-02-18	122.775	0.4	69.48181818181818										77.098
2016-02-17	128.776	0.0	58.61688311688312										59.424
2016-02-16	131.462	0.2	62.88958333333333										58.947
2016-02-15	145.071	22.2	74.015625										67.377
2016-02-14	181.015	0.0	83.47708333333333										79.948
2016-02-13	118.151	0.4	86.08125										89.516
2016-02-12	114.872	18.4	59.598913043478255										54.772
2016-02-11	120.128	2.6	64.50227272727273										57.534
2016-02-10	116.181	0.0	60.93541666666666										58.003
